,dialog,act,emotion,len_dialog
83,"['What ’ s the life expectancy in your country ? '
 ' I ’ m not sure , but probably about 75 years . How about in your country ? '
 ' About 70 , I think . This newspaper article talks about the problems of an aging population . It ’ s a problem that will soon affect most of the world . '
 ' I heard that the government might need to increase the retirement age , because otherwise there will not be enough workers to support the young and the elderly . '
 ' Perhaps we need to have more babies ! Tina gave birth to a baby boy yesterday . '
 ' Did she ? That ’ s great . However , if we have too many children , that will have a bad effect on the enviroment . '
 ' How ’ s your son these days ? '
 ' Oh , he ’ s fine . Kids seem to grow up very quickly nowadays . '
 ' He ’ ll be a teenager before you know it ! Teenagers are often rebellious ! When do you mine it is a good age to have a child ? '
 ' I had mine when I was 24 . that ’ s a little young . I ’ d suggest you wait until you are in your late twenties . , or even in your early thirties if you have a good career . '
 ' Yes , I think you ’ re right . I ’ m thinking about having a child , but not just yet . '
 ' Is there a big generation gap between parents and their children in you country ? '
 ' Yes , there is . Teenagers do not want to live traditional lives . They want to go out , have fun , and explore the world . They want to develop their own view of life . Parents usually try to discourage them , but they don ’ t often succeed . '
 ' Parents usually give their children more freedom in my country . Sometimes they give them too much freedom . '
 ' It ’ s almost impossible to get the right balance . If you are too strict , kids might ignore you . If you are too lenient , they might go wild . ']",[2 2 1 1 1 2 2 1 2 1 1 2 1 1 1],[0 0 0 0 0 4 0 0 0 0 0 0 0 0 0],1773
97,"['What ’ s the plot of your new movie ? '
 ' It ’ s a story about a policemen who is investigating a series of strange murders . I play the part of the detective . He has to catch the killer , but there ’ s very little evidence . It ’ s a psychological th '
 ' Did you enjoy making the movie ? We heard stories of disagreement with other actors and with the director . '
 ' I have had disagreement with every director . I ’ Ve worked with . We ’ Ve always disagreed in a friendly way and we have always resolved our differences . It was the same when I made this movie . I don ’ t no '
 ' Critics are not very happy with the movies that you ’ Ve made recently . Does that bother you ? '
 ' Not at all . The feedback from audience has been great . I care about what they think more than what the critics think . '
 ' Did you do you own stunts in the movie ? '
 ' I wanted to , but my insurance company wouldn ’ t let me . All of my stunts were done by a stuntman . As you know , I used to do my own stunts , but I ’ ll leave that to the experts in future . '
 ' Thank you very much for doing this interview . '
 ' My pleasure . Have you seen the movie yet ? '
 ' Yes . I have . I liked it very much . Like you , I was very impressed with Rachel ’ s performance in the movie . She ’ s going to be a star . ']",[2 1 2 1 2 1 2 1 1 2 1],[0 0 0 0 0 0 0 0 4 4 4],1306
102,"['Thank god you showed up when you did ! He ’ s insane ! Do you think we should call the police ? '
 ' Don ’ t worry about it , I ’ ll call my friend and have him take care of it . I can ’ t believe he was stalking you all these years . What a nut job ! '
 ' I know ! Well ... he said I ’ m not pregnant . I ’ m sorry if I got you all worked up over nothing . I want you to know that I didn ’ t do it on purpose ... '
 ' Don ’ t apologize ! From the moment I met you , not a day has gone by when I haven ’ t thought of you.And now that I ’ m with you again , I ’ m ... I ’ m just scared , Veronica . The closer I get to you , the worse it gets . The thought of not being with you , I mean , I just can ’ t handle it ! We were made for each other , Veronica . You are my everything , my soul mate . What can I do ? '
 ' Just hold me ... I ’ ll always be here for you , no matter what . And together , we can tackle whatever life throws at us . I believe in us , steven . '
 ' I ’ m so happy to hear that ! I knew we belong together . I love you so much . ']",[2 3 1 3 3 1],[0 0 0 0 0 4],1056
125,"['are you still coming to my place for dinner tomorrow night ? '
 ' of course . Is the dinner still on ? '
 ' yes , I was just wondering how you and your roommate were planning on coming to my place . '
 ' we were planning on walking both ways since the weather is still nice . '
 "" that's what I thought you would do . Listen , I live in a bit of a rough neighborhood . It's just down the street from all the bars . You probably don't want to be walking around after dark . ""
 "" it can't be that bad . ""
 "" I wish it wasn't , but there is actually a lot of crime and prostitution around here . ""
 "" really ? I never would have guessed . The criminals must only come out in the evenings , because I've never noticed anything strange when I've been at your house in the daytime . ""
 "" do me a favor , and take a taxi . It'd make me feel a lot better . ""
 ' ok , we will . How do you get around in the evenings ? '
 ' when I first moved in , I walked everywhere . But within a week , I had my purse stolen — just a block away from the police station ! Now , I always take public transportation . '
 ' has anything else happened to you ? '
 ' nothing else has happened to me , but I have seen quite a few fights on the streets after the bars close . '
 "" well , we'll be careful . Thanks for letting me know . ""]",[2 2 2 1 3 4 1 1 3 2 1 2 1 4],[0 0 0 0 0 0 0 6 0 0 0 0 0 0],1309
134,"['Sam , I am so sorry . It was your birthday yesterday and I completely forgot about it . '
 "" Don't worry about it . I keep forgetting everyone's birthdays as well . ""
 ' Margaret really told me off when she found out that I had forgotten all about it . We did try to phone you , but you and Jane must have gone out . '
 ' Yes , Jane invited me for dinner to this new restaurant which opened near us . '
 ' Oh , yes , I know the one . How was the food ? '
 ' The food was excellent , but Jane ordered a birthday cake , which they forgot about . So as you can see , you were not the only one . '
 ' Oh , no . '
 ' Yes , Jane was quite upset about it . The manager came to apologize and we did get free dessert , but still ... '
 ' I would think this was the least they could do . '
 ' In the end it was a nice evening and I got an iPad as my birthday present which I wanted for a while . '
 ' Great . I have also been thinking of getting one . Do you think you could ask Jane to have a quiet word with Margaret ? My birthday is not that far away . '
 ' I can try , but knowing Margaret she will see through that immediately . ']",[1 1 1 1 2 1 1 1 1 1 3 4],[0 0 0 0 0 0 5 0 0 0 4 0],1128
157,"[""Doris , I'm glad you're home . I'm terrified . I don't know what to do ! ""
 ' What is it ? What happened ? ' ' I think someone is stalking me . '
 "" No , it can't be . Really ? Who ? ""
 "" I don't know . I saw him the first time Tuesday . He was at the cafe . I noticed he was looking at me a lot . Not just the usual looking , but staring.He just kept staring at me . He didn't stop . ""
 ' What did you do ? '
 "" I didn't do anything . Finally , he left.But then I saw him again today . Outside the shoe store . Near the cafe . I went into a CD store and pretended I was looking at CD's . But then he came in too . ""
 ' Did he leave when you left ? '
 ' Yes . Then I noticed he was on the sidewalk behind me . He was following me . '
 ' What did you do ? ' ' He followed me all the way home ! '
 "" That's about five blocks . And around corners too.So he was definitely following you . ""
 "" Yes , he was . I'm not imagining it.Finally , just when I got home , I turned around and looked at him.He was just standing there . He didn't smile . He just stood there . It was so obvious.What should I do ? I'm so scared . Can I call the police ? ""
 "" Actually , I don't think you can call the police . Not yet at least.He hasn't done anything . And probably the police will just ignore it.But if anything happens again , then maybe you should call . ""
 "" Why can't I call the police now ? He was definitely following me ! ""
 "" Of course you can call the police if you want . That's not what I mean . I'm just saying that they probably won't do anything . ""
 "" I suppose . What can they do ? I don't even know who he is . ""
 "" Listen , Carol . Don't let this bother you too much.Probably it's nothing . Just keep your eyes open when you go out.If you see him a third time , and if he follows you again , then I think we should go to the police.But for now , just try not to worry . ""
 "" Alright . And I won't go to that cafe for awhile . ""]",[1 2 1 2 1 2 1 2 1 2 1 1 2 1 2 1 2 3 4],[3 0 3 6 0 0 0 0 0 0 0 0 3 0 3 0 0 0 0],1934
158,"[""Han Maimed , What's your plan for the weekend ? ""
 ' I plan to travel around Harvard University and know more about it . To tell you the truth , I plan to apply for Harvard after graduation from high school . It ’ s better to get to know it . What about you ? '
 ' I get together with my Christian brothers on Saturdays . '
 ' Oh , my God ! John , I didn ’ t know you are religious . You just look like a scientific kook , like Leonard in the Big Bang Theory . '
 ' Come on , Han Maimed , don ’ t make a fuss . A lot of Americans , including many scientists , believe in religion . '
 ' But I ’ m really surprised . I thought science and religion are not compatible , are they ? '
 ' Yes , they are compatible . Actually , the U . S . is both the most developed and the most religious country in the world . '
 "" I've heard about it a little bit before , but I don ’ t understand . How can people believe in God since they know God doesn't exist ? ""
 ' That ’ s a little complicated . You ’ ll get to know it when you are acquainted with the U . S . history later on . Religion was and is a part of American people ’ s life . Guess what ? Even Harvard University , which is a highly academic institution , is in a sense the product of religion . '
 ' Really ? '
 ' Absolutely ! It was founded by a group of Puritan immigrants from England . '
 ' Why was it founded by the Puritans ? Where were the atheistic educators ? '
 ' Because most of the first English immigrants who came to the United States were Puritans . '
 ' How come ? I mean why most of them were religious people ? '
 ' That ’ s because in the 16th and 17th century , there was a series of religious reforms in England . Many religious separatists were persecuted and fled to other countries . '
 "" So , you mean people didn't enjoy religious freedom in England ? ""
 "" Yes , that's why Puritans moved to the New World , where they believed they could establish a heaven for Puritans . Later on , it was these Puritans who founded Harvard College . ""
 ' Why did they want to found a college ? '
 ' Many Puritans had received classic style of higher education in Oxford University and Cambridge University back in England . They hoped that their descendants could receive this kind of education as well . '
 ' Oh , I see . '
 "" Actually Harvard was first named ' New College ' , without a formal name . ""
 ' When did it begin to be called Harvard University ? '
 ' In 1639 , it was renamed after its major benefactor John Harvard . Interestingly , JohnHarvard himself was a clergyman . '
 ' It seems that Harvard was predestined to be influenced by religion . '
 ' Therefore , it ’ s not exaggerate to claim that had there not been religion , there would note Harvard . '
 ' Wow , I didn ’ t know that religion had played such an important role in Harvard history . '
 ' Religion has been playing an indispensible part in Harvard history as well as the U . S . '
 ' I finally begin to get to know Harvard . It seems that my knowledge of Harvard is rather poor . I have a lot work to do before applying for Harvard . '
 ' Remember that Harvard is a part of the United States . So you have to know the U . S . history and culture if you want to have in-depth knowledge of Harvard . The two are closely related . '
 ' That ’ s right . I have a lot to learn from you . '
 ' You can ask me any question at any time . ']",[2 2 1 1 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 1 1 2 1 1 1 1 1 1 3 4 3],[0 0 0 6 0 0 0 0 0 6 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4],3379
166,"['What ’ s up ? You don ’ t look too good . '
 ' Yeah , my head hurts , that ’ s all . I ’ Ve been in physics class all day . It ’ s killer ! '
 ' I liked physics . It ’ s all math , really , arcs , curves , velocity , cool stuff . '
 ' Yeah , yeah , but today ’ s lesson was all about the creation of the universe . '
 ' A physics class about the creation of the universe ? That ’ s some pretty unscientific language there . Sounds more religious to me . '
 ' It ’ s all religion . Take the theory of the Big Bang.How is it possible that all of the stuff in the universe comes from an explosion ? That ’ s no better than Atlas carrying the globe on his back or African myths about turtles and stuff . '
 ' Turtles ? Whatever ... Look , all that ’ s required for the creation of matter an imbalance of particles and anti-particles . At least , that ’ s what the math says . '
 ' Math , sheath . What ’ s the evidence ? '
 ' There is evidence ! You know Edwin Hubble ? He ’ s the guy who in the early twentieth century was the first scientist to measure the drift of matter in the universe , thus advancing notions of an expanding universe . What would it be expanding from ? Well , the Big Bang ... DUH ! '
 ' Anyway , it ’ s just a theory . Why do people go around touting theories ? Where ’ s the scientific rigor in that ? '
 ' Dude , don ’ t equivocate . A theory only becomes a theory after withstanding rigorous testing . You slept through class , didn ’ t you ? ']",[2 1 1 1 2 1 2 2 1 2 2],[0 1 4 0 6 0 0 0 0 0 0],1471
173,"['Hey ! How was your first day of class ? I ’ m in level two and I ’ m loving my class this semester ! It ’ s great being in a class of international students ! '
 ' Mine was ok , except that no one in my class speaks English . I guess it will force me to converse in Chinese more in class so at least I should improve a lot this semester . '
 ' That ’ s both fortunate and unfortunate . It ’ s the United Nations in my class ! We have people from all over the world ! There are three Germans , a Pole , a Scottish , two French , an American , a Brazilian , '
 ' That ’ s quite the array of nationalities . Everyone in my class is from Asia , except me . There are a few South Koreans , several Japanese , Malaysian , Thai , Singaporean , Filipino , Kazakhstan , and o '
 ' Well , I think you ’ re pretty lucky actually . You ’ ll have the opportunity to learn so much about Asian culture . '
 ' I guess so , but I think it ’ s going to be hard to relate to my classmates , especially with the language barrier . I think I might change classes . '
 ' Don ’ t ! Stay the course ! Your spoken Chinese will be eternally grateful . I bet you it will even surpass mine with all that practice . '
 ' I highly doubt it . Your girlfriend is Chinese . '
 ' Well , there is that , yes . ']",[2 1 1 1 1 1 3 4 1],[0 0 0 0 0 0 0 0 0],1279
178,"['What kind of music do you like listening to ? '
 "" I like music that has a fast beat and is lively , like dance music . You know , I go to a disco almost every week . Sometimes it's too loud though . You prefer classical music , don ’ t you ? ""
 ' Yes , I do . I find it very relaxing . I often listen to Mozart or Bach in the evening after a hard day at work . '
 ' I must admit that I like several pieces of classical music . It ’ s certainly more sophisticated that modern dance music . '
 ' Classical music is supposed to be good for you brain . Research suggest that it makes your brain more active . Students who listen to classical music while studying perform better . '
 ' Really ? Perhaps I should listen to classical music often . I heard that listening to classical music is helpful in reducing stress . '
 ' Yes . That ’ s why I listen to it in the evenings . I usually play it as background music while I ’ m cooking or doing other housework . '
 ' I ’ Ve got a few classical music CD ’ s . I should follow your lead and increase my brian power . '
 ' You can find plenty of recording on the internet too . You can listen to samples and then buy them very cheaply if you like them . '
 ' That ’ s a good idea . You should do the same with some music . You might find something you like . Classical music might make you clever , but dance might make you livelier and happier . '
 ' That ’ s true . There ’ s clear evidence that people who listen to lively music are lively people . Music can influence a person ’ s feeling and character . ']",[2 2 1 1 1 2 1 1 3 4 1],[0 0 0 0 0 6 0 0 0 4 0],1556
193,"['Hello ! What are you reading about in the newspaper ? '
 ' Hello ! I was exhausted some studying , so I decided to read the newspaper to relax . Unfortunately , the news is so depressing . There has been another murder in the city center . I ’ m shocked that the police haven ’ t caught the killer yet . '
 ' People are starting to get frightened by it . Everyone will be relieved when they finally catch the murder . '
 ' You mean “ if ” they catch the murderer . I ’ m scared stiff about going into the city center at night . '
 ' There must have been some good news in the newspaper . I can ’ t believe that none of the news stories make you happy or excited . '
 ' Well , there was one good piece of news . You remember the local girl who was dying of a rare blood disease ? '
 ' Yes . Her parents were raising money to have her treated in the united states . '
 ' Well , they ’ Ve got the money and she ’ s going tomorrow for treatment . '
 ' I ’ m so happy for the family ! They must be very relieved and excited about that . '
 ' I ’ m sure they are . Oh , and a local man won the lottery . I ’ m so jealous ! I wish it were me ! I buy a lottery ticket every week and I ’ m amazed that I haven ’ t even won a small prize yet . It ’ s so unfair ! '
 ' Don ’ t be moody ! I hope you ’ re not tired , because we ’ Ve been invited to a party this evening . I know how excited you get about parties . ']",[2 1 1 1 1 2 1 1 1 1 1],[4 0 0 0 0 0 0 0 4 0 0],1407
209,"[""Did you see the information on sales for last year ? The sales review was made at our last board meeting . There's a great news for our shareholders . ""
 "" Yeah , I went over the figures this morning . We're finally started making money again ! ""
 "" We've never sold this much before , our growth this year has been phenomenal . We have captured 8 % of the market , up from last year by 120 % . Our strategy is working ! ""
 ' not only our annual sales brake a record , but our month by month earnings exceeded our forecast as well . After a two-year slump , we finally back in the black . '
 "" The company's performance has improved since Wallace became president . He's made our little business into a real lucrative operation . Products are selling like hotcakes . ""
 "" I think our success is partly because of Wallace's contribution , and partly because of our new marketing strategy . Because of the new advertising campaign , we have become the top sellers in the field . ""
 "" Let's hope this stroke of good luck lasts . I hope we are over our financial difficulties for good . ""
 "" Let's hope it is ! ""]",[2 1 1 1 1 1 1 1],[0 4 4 4 0 0 4 4],1111
228,"['Have you been ever been to Disneyworld ? '
 ' When I was young , my parents took me to the one in California . I always forget which — is that one Disneyland or Disneyworld ? '
 ' The one in Florida is Disneyworld and the one in California is Disneyland , so you must have been to Disneyland . '
 "" That's right . Why do you ask ? ""
 "" Well , I've never been to either so I was thinking of going to Disneyworld for my honeymoon . ""
 ' When are getting married ? '
 "" Some time next year . We haven't set the date yet . ""
 ' Congratulations ! I had no idea . '
 ' Thank you . So what do you think ? Would we have a good time ? '
 ' Do you like amusement parks ? '
 ' For the most part , yes . Some of the rides are bit too scary for me , though . '
 "" If you don't think twice about the rides and go on every ride that you can , you'll have a good time . ""
 ' Even the roller coasters that go through tunnels in the dark ? '
 "" Even those . It'll be very romantic , I think . You'll have loads of fun . ""
 "" Thanks for the advice . I'll talk to my fiance about it tonight . ""
 "" I'm sure he'll love the idea . Just throw yourself into it and you'll enjoy it ! ""]",[2 2 1 2 1 2 1 1 2 2 1 1 2 1 1 1],[0 0 0 0 4 4 4 4 4 0 0 4 4 4 4 4],1163
230,"['you look better today . How did your test go ? '
 ' much better than it did yesterday . ' ' did you pass ? '
 "" I not only passed my test , but I aced it ! I'm so happy ! ""
 ' you should be . You worked really hard last night preparing for it . '
 "" thanks for helping me with it . If you hadn't encouraged me to do my best , I wouldn't have ever been able to pass . ""
 "" you don't have to thank me . It's just a part of my job as your counsellor . ""
 ' did you always do well at school ? '
 ' no , in fact , I was terrible at taking exams . ' ' really ? '
 ' sure , but my teachers always encouraged me to do the best that I could and that helped me a lot . When are your final exams ? '
 "" I'll get my finals in two months . ""
 ' when do you plan on studying for those exams ? '
 ' most students just cram the night forehead . '
 "" do you think that's a good idea ? ""
 ' no , I think I should study a little bit at a time , starting a few weeks before the exam . '
 "" that sounds like a good idea . What are you going to do if you have any questions while you're studying ? ""
 "" I'll go and talk to my professor or a learning support assistant . ""
 "" it sounds like you've learned something useful this year ! ""]",[2 1 2 1 1 1 1 2 1 2 2 1 2 1 2 1 2 1 1],[0 0 0 4 0 4 0 0 0 6 0 0 0 0 0 0 0 0 0],1216
